User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Purchase

1000001,P00069042,F, 16,10,A,2,0,3,,,8370
1000001,P00248942,F, 15,10,A,2,0,1,6,14,15200
1000001,P00087842,F, 17,10,A,2,0,12,,,1422
1000001,P00085442,F, 10,10,A,2,0,12,14,,1057
1000002,P00285442,M,55 ,16,C,4,0,8,,,7969
1000003,P00193542,M,33,15,A,3,0,1,2,,15227
1000004,P00184942,M,49,7,B,2,1,1,8,17,19215
1000004,P00346142,M,47,7,B,2,1,1,15,,15854
1000004,P0097242,M,46,7,B,2,1,1,16,,15686
1000005,P00274942,M,32,20,A,1,1,8,,,7871
1000005,P00251242,M,30,20,A,1,1,5,11,,5254
1000005,P00014542,M,29,20,A,1,1,8,,,3957
1000005,P00031342,M,33,20,A,1,1,8,,,6073
1000005,P00145042,M,30,20,A,1,1,1,2,5,15665
1000006,P00231342,F,52,9,A,1,0,5,8,14,5378
1000006,P00190242,F,52,9,A,1,0,4,5,,2079
1000006,P0096642,F,53,9,A,1,0,2,3,4,13055
1000006,P00058442,F,55,9,A,1,0,5,14,,8851
1000007,P00036842,M,39,1,B,1,1,1,14,16,11788
1000008,P00249542,M,31,12,C,4,1,1,5,15,19614
1000008,P00220442,M,30,12,C,4,1,5,14,,8584
1000008,P00156442,M,29,12,C,4,1,8,,,9872
1000008,P00213742,M,35,12,C,4,1,8,,,9743
1000008,P00214442,M,27,12,C,4,1,8,,,5982
1000008,P00303442,M,31,12,C,4,1,1,8,14,11927
1000009,P00135742,M,34,17,C,0,0,6,8,,16662
1000009,P00039942,M,33,17,C,0,0,8,,,5887
1000009,P00161442,M,31,17,C,0,0,5,14,,6973
1000009,P00078742,M,31,17,C,0,0,5,8,14,5391
1000010,P00085942,F,41,1,B,4,1,2,4,8,16352
1000010,P00118742,F,38,1,B,4,1,5,11,,8886
1000010,P00297942,F,37,1,B,4,1,8,,,5875
1000010,P00266842,F,37,1,B,4,1,5,,,8854
1000010,P00058342,F,44,1,B,4,1,3,4,,10946
1000010,P00032442,F,41,1,B,4,1,5,,,5152
1000010,P00105942,F,43,1,B,4,1,5,,,7089
1000010,P00182642,F,40,1,B,4,1,2,4,9,12909
1000010,P00186942,F,43,1,B,4,1,5,12,,8770
1000010,P00155442,F,39,1,B,4,1,1,11,15,15212
1000010,P00221342,F,41,1,B,4,1,1,2,5,15705
1000010,P00087242,F,37,1,B,4,1,14,,,7947
1000010,P00111142,F,41,1,B,4,1,1,15,16,18963
1000010,P00259342,F,43,1,B,4,1,5,9,,8718
1000010,P0094542,F,42,1,B,4,1,2,4,9,16406
1000010,P00148642,F,38,1,B,4,1,6,10,13,12642
1000010,P00312142,F,45,1,B,4,1,8,,,10007
1000010,P00113242,F,44,1,B,4,1,1,6,8,11562
1000011,P00192642,F,34,1,C,1,0,8,17,,6171
1000011,P00110842,F,31,1,C,1,0,1,2,5,19327
1000011,P00189642,F,27,1,C,1,0,8,13,,8027
1000012,P00304242,M,28,12,C,2,0,1,6,,15246
1000012,P00365242,M,28,12,C,2,0,5,8,,6865
1000013,P00129542,M,46,1,C,3,1,8,14,,5839
1000013,P00140742,M,48,1,C,3,1,1,15,,15912
1000013,P00182342,M,47,1,C,3,1,1,5,6,12107
1000014,P00276642,M,39,0,C,0,0,8,11,,5848
1000015,P00334242,M,28,7,A,1,0,1,8,,19653
1000015,P00247542,M,29,7,A,1,0,8,16,,5958
1000015,P00338442,M,32,7,A,1,0,1,16,,11415
1000015,P00275142,M,33,7,A,1,0,5,8,,5380
1000015,P00333042,M,29,7,A,1,0,5,8,,3594
